Dipawesh	Sabyasachi	Vikram	MNB
neutral	neutral	future	future
neutral	neutral	past	past
atemporal	neutral	atemporal	atemporal
future	future	future	future
atemporal	atemporal	atemporal	neutral
past	neutral	present	atemporal
atemporal	atemporal	atemporal	past
present	atemporal	atemporal	past
atemporal	atemporal	atemporal	past
present	atemporal	neutral	past
present	atemporal	atemporal	atemporal
present	atemporal	neutral	atemporal
future	atemporal	atemporal	atemporal
neutral	neutral	neutral	atemporal
neutral	neutral	neutral	neutral
past	atemporal	atemporal	past
atemporal	atemporal	atemporal	atemporal
atemporal	neutral	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	past	present
atemporal	atemporal	atemporal	atemporal
future	atemporal	future	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	neutral	present	atemporal
present	atemporal	atemporal	past
past	past	past	past
past	neutral	neutral	atemporal
neutral	neutral	past	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	future	neutral
neutral	atemporal	neutral	neutral
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	present
future	neutral	future	future
atemporal	atemporal	atemporal	past
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
neutral	past	past	future
atemporal	atemporal	atemporal	atemporal
past	neutral	neutral	future
atemporal	atemporal	atemporal	neutral
past	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	present	present	past
future	neutral	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	present	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
past	past	past	past
neutral	neutral	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
future	neutral	atemporal	atemporal
neutral	neutral	neutral	atemporal
present	present	present	present
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	future
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atemporal
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
past	past	past	past
neutral	neutral	neutral	neutral
atemporal	atemporal	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
future	atemporal	present	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	future
present	present	present	present
future	neutral	future	future
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	present
past	past	past	future
atemporal	atemporal	atemporal	atemporal
