Dipawesh	Sabyasachi	Vikram	SVM
neutral	neutral	future	neutral
neutral	neutral	past	past
atemporal	neutral	atemporal	neutral
future	future	future	future
atemporal	atemporal	atemporal	atemporal
past	neutral	present	atemporal
atemporal	atemporal	atemporal	past
present	atemporal	atemporal	past
atemporal	atemporal	atemporal	past
present	atemporal	neutral	past
present	atemporal	atemporal	atemporal
present	atemporal	neutral	atemporal
future	atemporal	atemporal	atemporal
neutral	neutral	neutral	atemporal
neutral	neutral	neutral	neutral
past	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	neutral	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	past	past
atemporal	atemporal	atemporal	atemporal
future	atemporal	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	neutral	present	atemporal
present	atemporal	atemporal	past
past	past	past	past
past	neutral	neutral	atemporal
neutral	neutral	past	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	future	neutral
neutral	atemporal	neutral	neutral
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
future	neutral	future	neutral
atemporal	atemporal	atemporal	past
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	past	past	past
atemporal	atemporal	atemporal	atemporal
past	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
past	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	present	present	past
future	neutral	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	present	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
past	past	past	past
neutral	neutral	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
future	neutral	atemporal	atemporal
neutral	neutral	neutral	atemporal
present	present	present	past
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	past
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
past	past	past	past
neutral	neutral	neutral	neutral
atemporal	atemporal	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
future	atemporal	present	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
present	present	present	present
future	neutral	future	future
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	present	past
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	past
neutral	neutral	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	atemporal	atemporal	atemporal
future	atemporal	atemporal	atemporal
atemporal	neutral	atemporal	atemporal
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	atemporal	past	atemporal
past	past	past	past
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	atemporal	future	atemporal
past	past	neutral	past
neutral	atemporal	neutral	neutral
present	atemporal	present	present
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
past	neutral	past	past
neutral	neutral	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	atemporal	past	atemporal
atemporal	atemporal	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	neutral	past	past
future	atemporal	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	present	present	past
atemporal	atemporal	atemporal	atemporal
future	atemporal	atemporal	atemporal
present	neutral	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
