INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
119919	0.956	atemporal	1
122926	0.264	neutral	1
16290	0.272	present	1
83720	0.961	atemporal	1
100796	0.986	atemporal	1
128679	0.314	future	1
39887	0.962	atemporal	1
12356	0.956	atemporal	1
82087	0.962	atemporal	1
61069	0.982	atemporal	1
84697	0.976	atemporal	1
34236	0.32	past	1
123452	0.961	atemporal	1
33263	0.254	neutral	1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
21815	0.945	atemporal	2
42280	0.287	future	2
6467	0.953	atemporal	2
107509	0.951	atemporal	2
79189	0.948	atemporal	2
27605	0.943	atemporal	2
33430	0.33	neutral	2
46155	0.951	atemporal	2
77776	0.953	atemporal	2
80497	0.326	past	2
43290	0.263	present	2
136074	0.947	atemporal	2
69554	0.33	neutral	2
124577	0.945	atemporal	2
61877	0.94	atemporal	2
23550	0.962	atemporal	2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
2743	0.277	present	3
127856	0.955	atemporal	3
24717	0.948	atemporal	3
112019	0.429	neutral	3
71739	0.949	atemporal	3
78413	0.284	present	3
19395	0.941	atemporal	3
73918	0.95	atemporal	3
31103	0.947	atemporal	3
49609	0.422	past	3
50991	0.941	atemporal	3
64404	0.942	atemporal	3
47816	0.946	atemporal	3
87448	0.95	atemporal	3
27085	0.947	atemporal	3
122284	0.945	atemporal	3
136160	0.942	atemporal	3
42017	0.425	neutral	3
75388	0.297	future	3
