INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
117741	1.0	neutral	1
9660	1.0	atemporal	1
106849	1.0	atemporal	1
109589	1.0	atemporal	1
126545	1.0	atemporal	1
8132	1.0	past	1
22270	1.0	present	1
68160	1.0	atemporal	1
143540	1.0	atemporal	1
26476	1.0	neutral	1
89528	1.0	atemporal	1
134719	1.0	atemporal	1
29730	1.0	atemporal	1
63774	1.0	future	1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
108260	0.977	atemporal	2
31575	0.329	past	2
109983	0.27	present	2
100796	0.998	atemporal	2
81567	0.978	atemporal	2
126172	0.989	atemporal	2
32024	0.362	neutral	2
50680	0.36	neutral	2
96988	0.978	atemporal	2
139763	0.98	atemporal	2
110468	0.987	atemporal	2
95047	0.978	atemporal	2
26007	0.341	future	2
84697	0.988	atemporal	2
31540	0.979	atemporal	2
123898	0.984	atemporal	2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
24258	0.454	neutral	3
71739	0.978	atemporal	3
34236	0.438	past	3
6467	0.973	atemporal	3
12426	0.278	present	3
50817	0.449	neutral	3
102206	0.974	atemporal	3
32208	0.973	atemporal	3
39887	0.985	atemporal	3
87246	0.299	future	3
123590	0.286	present	3
138471	0.976	atemporal	3
44263	0.974	atemporal	3
12211	0.985	atemporal	3
35395	0.974	atemporal	3
130358	0.981	atemporal	3
6496	0.98	atemporal	3
3232	0.973	atemporal	3
83671	0.978	atemporal	3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
43765	0.377	neutral	4
38017	0.282	future	4
38643	0.942	atemporal	4
119144	0.27	present	4
128444	0.938	atemporal	4
19395	0.938	atemporal	4
77776	0.94	atemporal	4
71244	0.326	past	4
115057	0.937	atemporal	4
114105	0.378	neutral	4
10628	0.379	neutral	4
61791	0.939	atemporal	4
108994	0.946	atemporal	4
49932	0.95	atemporal	4
44553	0.943	atemporal	4
70995	0.942	atemporal	4
24020	0.942	atemporal	4
142887	0.271	present	4
136160	0.95	atemporal	4
97229	0.949	atemporal	4
69057	0.282	future	4
102212	0.937	atemporal	4
118879	0.954	atemporal	4
138378	0.941	atemporal	4
74453	0.326	past	4
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
40709	0.934	atemporal	5
5870	0.307	future	5
19690	0.389	neutral	5
89100	0.934	atemporal	5
26334	0.939	atemporal	5
100927	0.387	neutral	5
45692	0.936	atemporal	5
139087	0.935	atemporal	5
22680	0.946	atemporal	5
127856	0.934	atemporal	5
64363	0.311	past	5
56947	0.308	future	5
6898	0.936	atemporal	5
75246	0.293	present	5
35162	0.934	atemporal	5
70593	0.943	atemporal	5
99550	0.942	atemporal	5
133270	0.938	atemporal	5
68435	0.938	atemporal	5
78521	0.386	neutral	5
27305	0.94	atemporal	5
57798	0.311	past	5
17686	0.94	atemporal	5
110884	0.942	atemporal	5
3117	0.933	atemporal	5
27605	0.935	atemporal	5
108382	0.294	present	5
38488	0.939	atemporal	5
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
58179	1.0	atemporal	1
91743	1.0	atemporal	1
61781	1.0	atemporal	1
125005	1.0	present	1
70755	1.0	atemporal	1
105196	1.0	atemporal	1
110910	1.0	atemporal	1
9592	1.0	atemporal	1
2058	1.0	present	1
139764	1.0	atemporal	1
120278	1.0	atemporal	1
87643	1.0	atemporal	1
73573	1.0	atemporal	1
109911	1.0	atemporal	1
33159	1.0	present	1
60284	1.0	past	1
21988	1.0	atemporal	1
