INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
82087	0.996	atemporal	1
68079	0.996	temporal	1
127096	0.998	atemporal	1
34707	0.998	atemporal	1
91963	0.996	atemporal	1
34392	0.997	atemporal	1
129354	0.996	atemporal	1
84004	0.995	temporal	1
96389	0.999	atemporal	1
2780	0.997	atemporal	1
35542	0.992	temporal	1
100796	0.999	atemporal	1
34147	0.997	atemporal	1
32631	0.996	atemporal	1
113342	0.995	temporal	1
57687	0.992	temporal	1
9754	0.993	temporal	1
98109	0.998	atemporal	1
103513	0.999	atemporal	1
10440	0.991	temporal	1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
72043	0.91	atemporal	2
103225	0.823	temporal	2
31540	0.905	atemporal	2
117240	0.903	atemporal	2
140809	0.92	atemporal	2
80076	0.902	atemporal	2
45039	0.836	temporal	2
35357	0.828	temporal	2
123516	0.902	atemporal	2
80072	0.908	atemporal	2
85256	0.917	atemporal	2
105299	0.805	temporal	2
51342	0.813	temporal	2
50133	0.821	temporal	2
74716	0.904	atemporal	2
46175	0.905	atemporal	2
35134	0.914	atemporal	2
41616	0.919	atemporal	2
133436	0.921	atemporal	2
16468	0.819	temporal	2
48334	0.806	temporal	2
27995	0.916	atemporal	2
118480	0.906	atemporal	2
121637	0.914	atemporal	2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
24258	0.971	atemporal	3
44394	0.954	atemporal	3
93109	0.957	atemporal	3
134151	0.963	atemporal	3
116981	0.983	atemporal	3
43561	0.972	temporal	3
100344	0.966	temporal	3
44227	0.969	atemporal	3
87355	0.962	atemporal	3
135490	0.959	atemporal	3
96245	0.971	atemporal	3
57259	0.956	atemporal	3
50462	0.96	atemporal	3
22127	0.964	atemporal	3
102079	0.957	atemporal	3
73131	0.962	temporal	3
59089	0.972	temporal	3
66251	0.971	temporal	3
3126	0.959	atemporal	3
96934	0.971	temporal	3
60627	0.956	atemporal	3
102212	0.963	atemporal	3
1603	0.961	temporal	3
44605	0.961	temporal	3
117771	0.968	atemporal	3
45115	0.955	atemporal	3
40407	0.967	atemporal	3
92487	0.971	temporal	3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
22580	0.996	atemporal	4
8585	0.992	atemporal	4
26851	0.993	atemporal	4
126832	0.996	atemporal	4
76940	0.993	temporal	4
89449	0.994	temporal	4
57639	0.997	atemporal	4
86887	0.994	atemporal	4
80522	0.993	temporal	4
82369	0.994	atemporal	4
76054	0.996	atemporal	4
80707	0.993	temporal	4
38892	0.997	atemporal	4
109718	0.993	atemporal	4
22503	0.991	atemporal	4
110882	0.993	temporal	4
139763	0.991	atemporal	4
83143	0.993	atemporal	4
70010	0.996	atemporal	4
63920	0.991	atemporal	4
