Dipawesh	Sabyasachi	Vikram	J48
neutral	neutral	future	neutral
neutral	neutral	past	neutral
future	future	future	future
past	neutral	present	neutral
present	atemporal	neutral	neutral
present	atemporal	neutral	neutral
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
neutral	neutral	past	past
future	atemporal	future	neutral
present	neutral	present	past
past	past	past	past
past	neutral	neutral	future
neutral	neutral	past	neutral
neutral	neutral	future	past
neutral	atemporal	neutral	past
neutral	neutral	neutral	neutral
future	neutral	future	neutral
past	past	past	neutral
neutral	past	past	neutral
past	neutral	neutral	neutral
present	present	present	neutral
future	neutral	atemporal	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	future	neutral
future	neutral	atemporal	neutral
neutral	neutral	neutral	neutral
present	present	present	past
future	future	future	future
past	past	past	past
past	past	past	neutral
past	past	past	neutral
neutral	neutral	neutral	neutral
future	atemporal	present	neutral
future	future	future	past
past	past	past	future
present	present	present	past
future	neutral	future	neutral
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	atemporal	past	past
past	past	past	past
past	past	past	future
future	atemporal	future	neutral
past	past	neutral	future
neutral	atemporal	neutral	neutral
present	atemporal	present	future
past	neutral	past	neutral
neutral	neutral	neutral	neutral
future	future	future	future
past	atemporal	past	neutral
future	neutral	past	neutral
future	atemporal	future	neutral
present	present	present	neutral
present	neutral	neutral	neutral
