Dipawesh	Sabyasachi	Vikram	SVM
neutral	neutral	future	neutral
neutral	neutral	past	neutral
future	future	future	present
past	neutral	present	neutral
present	atemporal	neutral	neutral
present	atemporal	neutral	neutral
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
neutral	neutral	past	past
future	atemporal	future	neutral
present	neutral	present	neutral
past	past	past	neutral
past	neutral	neutral	neutral
neutral	neutral	past	neutral
neutral	neutral	future	past
neutral	atemporal	neutral	neutral
neutral	neutral	neutral	past
future	neutral	future	neutral
past	past	past	neutral
neutral	past	past	past
past	neutral	neutral	neutral
present	present	present	neutral
future	neutral	atemporal	neutral
neutral	neutral	neutral	neutral
past	past	past	present
neutral	neutral	future	neutral
future	neutral	atemporal	neutral
neutral	neutral	neutral	neutral
present	present	present	present
future	future	future	past
past	past	past	past
past	past	past	neutral
past	past	past	neutral
neutral	neutral	neutral	neutral
future	atemporal	present	neutral
future	future	future	present
past	past	past	neutral
present	present	present	present
future	neutral	future	neutral
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	atemporal	past	neutral
past	past	past	past
past	past	past	present
future	atemporal	future	neutral
past	past	neutral	past
neutral	atemporal	neutral	present
present	atemporal	present	present
past	neutral	past	past
neutral	neutral	neutral	neutral
future	future	future	neutral
past	atemporal	past	neutral
future	neutral	past	neutral
future	atemporal	future	neutral
present	present	present	present
present	neutral	neutral	neutral
