Dipawesh	Sabyasachi	Vikram	MNB
future	future	future	future
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
past	past	past	neutral
present	present	present	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
present	present	present	past
future	future	future	future
past	past	past	past
past	past	past	neutral
past	past	past	neutral
neutral	neutral	neutral	neutral
future	future	future	past
past	past	past	future
present	present	present	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
past	past	past	future
neutral	neutral	neutral	neutral
future	future	future	future
present	present	present	neutral
