Dipawesh	Sabyasachi	Vikram	SVM
future	future	future	present
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	neutral
neutral	neutral	neutral	past
past	past	past	neutral
present	present	present	neutral
neutral	neutral	neutral	neutral
past	past	past	present
neutral	neutral	neutral	neutral
present	present	present	present
future	future	future	past
past	past	past	past
past	past	past	neutral
past	past	past	neutral
neutral	neutral	neutral	neutral
future	future	future	present
past	past	past	neutral
present	present	present	present
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
past	past	past	present
neutral	neutral	neutral	neutral
future	future	future	neutral
present	present	present	present
