INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
130406	0.903	atemporal	1
120379	0.835	atemporal	1
27189	0.829	atemporal	1
53557	0.914	atemporal	1
10022	0.791	temporal	1
28877	0.864	atemporal	1
20158	0.805	atemporal	1
14266	0.805	atemporal	1
106177	0.837	atemporal	1
4108	0.801	temporal	1
64008	0.829	atemporal	1
139870	0.789	temporal	1
33946	0.868	atemporal	1
66196	0.784	temporal	1
6160	0.803	temporal	1
50788	0.797	temporal	1
49790	0.82	atemporal	1
100796	0.824	atemporal	1
75101	0.813	temporal	1
79396	0.844	atemporal	1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
92370	0.783	temporal	2
75674	0.873	atemporal	2
21893	0.851	atemporal	2
109831	0.786	temporal	2
84500	0.777	temporal	2
47830	0.909	atemporal	2
93683	0.851	atemporal	2
140416	0.851	atemporal	2
58004	0.851	atemporal	2
118267	0.886	atemporal	2
40274	0.804	temporal	2
90299	0.927	atemporal	2
82130	0.851	atemporal	2
45039	0.784	temporal	2
55894	0.861	atemporal	2
40611	0.851	atemporal	2
135674	0.824	temporal	2
100392	0.851	atemporal	2
52153	0.851	atemporal	2
104872	0.812	temporal	2
37167	0.851	atemporal	2
115810	0.886	atemporal	2
139043	0.781	temporal	2
29410	0.851	atemporal	2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
122483	0.991	atemporal	3
61859	0.993	atemporal	3
76012	0.991	atemporal	3
19262	0.997	temporal	3
68875	0.993	atemporal	3
86180	0.99	temporal	3
10032	0.991	atemporal	3
135212	0.995	atemporal	3
71780	0.993	atemporal	3
81709	1.0	temporal	3
97282	0.993	atemporal	3
139681	0.993	atemporal	3
129125	0.997	temporal	3
12396	0.991	atemporal	3
23406	0.996	temporal	3
124851	0.994	temporal	3
65893	0.993	atemporal	3
118909	0.991	atemporal	3
91295	0.991	atemporal	3
67689	0.993	atemporal	3
106670	0.995	temporal	3
71226	0.991	atemporal	3
91894	0.991	atemporal	3
38134	0.993	temporal	3
124492	0.991	atemporal	3
111447	0.993	atemporal	3
10413	0.993	atemporal	3
107091	1.0	temporal	3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
115063	0.989	temporal	4
112679	0.959	atemporal	4
32005	0.977	atemporal	4
17330	0.962	atemporal	4
105999	0.981	temporal	4
59985	0.99	atemporal	4
85002	0.969	atemporal	4
57071	0.969	atemporal	4
27567	0.962	atemporal	4
90928	0.974	temporal	4
125192	0.989	temporal	4
100561	0.976	atemporal	4
121595	0.96	atemporal	4
135456	0.962	atemporal	4
122351	0.99	atemporal	4
44006	0.978	temporal	4
61577	0.99	atemporal	4
86568	0.99	atemporal	4
127306	0.989	temporal	4
23441	0.961	atemporal	4
58736	0.978	temporal	4
121598	0.963	atemporal	4
126198	0.976	atemporal	4
44933	0.99	atemporal	4
26312	0.99	atemporal	4
142896	0.981	atemporal	4
93437	0.974	temporal	4
59882	0.961	atemporal	4
86819	0.983	atemporal	4
20483	0.981	temporal	4
122925	0.973	atemporal	4
137088	0.99	temporal	4
113186	0.962	atemporal	4
