INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
242	0.473	neutral	1
60	0.481	neutral	1
5050	0.467	neutral	1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
742	0.31	present	2
4694	0.447	neutral	2
1275	0.447	neutral	2
623	0.449	neutral	2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
4119	0.554	neutral	3
4557	0.544	neutral	3
3631	0.279	future	3
2061	0.542	neutral	3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
3540	0.604	neutral	4
2466	0.614	neutral	4
2945	0.31	present	4
28	0.605	neutral	4
1557	0.604	neutral	4
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
3174	0.666	neutral	5
2173	0.666	neutral	5
4394	0.666	neutral	5
2301	0.342	past	5
2436	0.666	neutral	5
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
931	0.681	neutral	6
4909	0.681	neutral	6
4154	0.681	neutral	6
3652	0.681	neutral	6
2998	0.681	neutral	6
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
3407	0.736	neutral	7
4755	0.753	neutral	7
4357	0.736	neutral	7
1977	0.753	neutral	7
3669	0.753	neutral	7
2107	0.343	past	7
308	0.736	neutral	7
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
4184	0.762	neutral	8
545	0.72	neutral	8
443	0.713	neutral	8
251	0.713	neutral	8
462	0.723	neutral	8
209	0.713	neutral	8
831	0.762	neutral	8
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
4576	0.811	neutral	9
2441	0.797	neutral	9
3248	0.819	neutral	9
1953	0.797	neutral	9
1592	0.345	past	9
3245	0.81	neutral	9
578	0.815	neutral	9
2416	0.823	neutral	9
2460	0.823	neutral	9
3557	0.309	future	9
3218	0.335	past	9
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
3038	0.871	neutral	10
383	0.871	neutral	10
809	0.871	neutral	10
2248	0.871	neutral	10
2445	0.349	present	10
4094	0.877	neutral	10
953	0.875	neutral	10
4630	0.883	neutral	10
4930	0.876	neutral	10
1458	0.354	present	10
1679	0.342	future	10
4054	0.886	neutral	10
1308	0.347	future	10
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
5030	0.869	neutral	11
4423	0.883	neutral	11
4872	0.895	neutral	11
4737	0.895	neutral	11
3607	0.903	neutral	11
4734	0.359	past	11
2361	0.367	past	11
507	0.862	neutral	11
5063	0.327	present	11
600	0.896	neutral	11
45	0.353	future	11
2491	0.871	neutral	11
4815	0.346	present	11
4277	0.885	neutral	11
2484	0.866	neutral	11
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
587	0.423	past	12
2385	0.909	neutral	12
2440	0.339	present	12
3732	0.909	neutral	12
3804	0.908	neutral	12
1208	0.423	past	12
4766	0.909	neutral	12
1931	0.908	neutral	12
1538	0.909	neutral	12
1150	0.909	neutral	12
1078	0.91	neutral	12
869	0.338	present	12
3969	0.908	neutral	12
4228	0.909	neutral	12
1214	0.909	neutral	12
2687	0.428	future	12
1155	0.428	future	12
59	0.913	neutral	12
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
4175	0.405	past	13
3387	0.94	neutral	13
4508	0.497	present	13
1681	0.506	future	13
3492	0.395	past	13
1041	0.935	neutral	13
3834	0.506	future	13
3143	0.497	present	13
1588	0.921	neutral	13
337	0.922	neutral	13
76	0.943	neutral	13
4931	0.497	present	13
927	0.928	neutral	13
388	0.405	past	13
409	0.941	neutral	13
855	0.922	neutral	13
4078	0.941	neutral	13
609	0.927	neutral	13
4797	0.94	neutral	13
2790	0.932	neutral	13
1990	0.94	neutral	13
1673	0.948	neutral	13
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1559	0.924	neutral	14
2168	0.439	future	14
2395	0.912	neutral	14
4826	0.911	neutral	14
480	0.445	future	14
700	0.424	past	14
653	0.922	neutral	14
2018	0.426	past	14
262	0.386	present	14
2882	0.915	neutral	14
4578	0.909	neutral	14
192	0.385	present	14
278	0.421	past	14
2259	0.919	neutral	14
34	0.917	neutral	14
3408	0.91	neutral	14
4733	0.912	neutral	14
3514	0.444	future	14
4079	0.93	neutral	14
4404	0.906	neutral	14
321	0.91	neutral	14
779	0.924	neutral	14
4089	0.915	neutral	14
328	0.913	neutral	14
3960	0.385	present	14
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1167	0.41	past	15
302	0.906	neutral	15
1887	0.409	present	15
3358	0.9	neutral	15
3405	0.923	neutral	15
4071	0.404	past	15
1795	0.903	neutral	15
4311	0.415	future	15
479	0.911	neutral	15
1411	0.408	present	15
1987	0.916	neutral	15
2135	0.916	neutral	15
542	0.917	neutral	15
4935	0.917	neutral	15
2627	0.905	neutral	15
4520	0.9	neutral	15
3948	0.921	neutral	15
1984	0.406	present	15
3556	0.91	neutral	15
1976	0.406	past	15
379	0.411	future	15
4056	0.917	neutral	15
1509	0.904	neutral	15
2932	0.413	future	15
401	0.909	neutral	15
3092	0.919	neutral	15
874	0.902	neutral	15
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1791	0.902	neutral	16
1236	0.911	neutral	16
2601	0.395	present	16
5069	0.906	neutral	16
2096	0.913	neutral	16
2504	0.453	future	16
1831	0.902	neutral	16
537	0.456	future	16
4603	0.384	past	16
2642	0.902	neutral	16
5074	0.912	neutral	16
2738	0.907	neutral	16
1369	0.913	neutral	16
1739	0.913	neutral	16
4715	0.454	future	16
1812	0.902	neutral	16
2712	0.93	neutral	16
4983	0.905	neutral	16
1631	0.914	neutral	16
4211	0.395	present	16
1088	0.902	neutral	16
2652	0.382	past	16
2505	0.395	present	16
760	0.919	neutral	16
2450	0.909	neutral	16
1703	0.403	past	16
384	0.914	neutral	16
2308	0.453	future	16
2847	0.38	past	16
3448	0.909	neutral	16
2964	0.912	neutral	16
3900	0.955	neutral	16
274	0.395	present	16
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
2563	0.916	neutral	17
196	0.914	neutral	17
4227	0.382	past	17
3651	0.895	neutral	17
1497	0.885	neutral	17
1445	0.889	neutral	17
4647	0.436	future	17
3283	0.886	neutral	17
4668	0.895	neutral	17
3874	0.904	neutral	17
1558	0.974	neutral	17
327	0.895	neutral	17
3563	0.425	future	17
3773	0.419	future	17
3179	0.439	future	17
2723	0.947	neutral	17
2839	0.435	past	17
4492	0.367	past	17
3486	0.888	neutral	17
2084	0.404	present	17
3312	0.877	neutral	17
3465	0.369	past	17
314	0.402	present	17
1855	0.875	neutral	17
474	0.892	neutral	17
1765	0.402	present	17
2715	0.875	neutral	17
2650	0.878	neutral	17
2766	0.892	neutral	17
2797	0.895	neutral	17
2097	0.878	neutral	17
1179	0.905	neutral	17
316	0.402	present	17
4559	0.88	neutral	17
598	0.891	neutral	17
2960	0.911	neutral	17
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
2125	0.876	neutral	18
2749	0.324	past	18
3008	0.866	neutral	18
785	0.453	future	18
1338	0.369	past	18
1313	0.406	present	18
4051	0.456	future	18
1740	0.409	present	18
4326	0.964	neutral	18
336	0.477	future	18
2583	0.875	neutral	18
3372	0.868	neutral	18
2912	0.89	neutral	18
4181	0.861	neutral	18
3967	0.328	past	18
4478	0.336	past	18
1009	0.865	neutral	18
1191	0.454	future	18
4988	0.914	neutral	18
4209	0.406	present	18
1935	0.859	neutral	18
4943	0.406	present	18
3141	0.862	neutral	18
849	0.879	neutral	18
386	0.406	present	18
980	0.87	neutral	18
816	0.964	neutral	18
3052	0.964	neutral	18
1420	0.875	neutral	18
4637	0.896	neutral	18
4807	0.964	neutral	18
4204	0.893	neutral	18
1132	0.882	neutral	18
1553	0.948	neutral	18
2295	0.948	neutral	18
3699	0.937	neutral	18
4346	0.964	neutral	18
3786	0.311	past	18
4400	0.865	neutral	18
717	0.874	neutral	18
4800	0.858	neutral	18
5095	0.874	neutral	18
652	0.454	future	18
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1018	0.873	neutral	19
3772	0.357	past	19
3251	0.886	neutral	19
2815	0.974	neutral	19
4143	0.417	future	19
5082	0.873	neutral	19
1963	0.873	neutral	19
3542	0.882	neutral	19
2313	0.357	past	19
3450	0.873	neutral	19
2883	0.873	neutral	19
1644	0.873	neutral	19
2442	0.873	neutral	19
692	0.873	neutral	19
909	0.875	neutral	19
285	0.426	future	19
306	0.365	past	19
698	0.886	neutral	19
4197	0.424	present	19
2151	0.887	neutral	19
3304	0.879	neutral	19
2765	0.875	neutral	19
2085	0.889	neutral	19
16	0.922	neutral	19
2718	0.357	past	19
1848	0.922	neutral	19
141	0.922	neutral	19
168	0.412	future	19
2046	0.922	neutral	19
2003	0.414	future	19
4538	0.412	future	19
2520	0.357	past	19
3843	0.873	neutral	19
3389	0.424	present	19
71	0.877	neutral	19
2754	0.426	future	19
2578	0.873	neutral	19
580	0.424	present	19
4438	0.873	neutral	19
736	0.873	neutral	19
1844	0.873	neutral	19
1348	0.886	neutral	19
4325	0.425	present	19
4595	0.922	neutral	19
1522	0.914	neutral	19
1960	0.424	present	19
1525	0.876	neutral	19
4065	0.873	neutral	19
496	0.422	present	19
4401	0.353	past	19
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
4553	0.945	neutral	20
1790	0.913	neutral	20
1720	0.415	future	20
734	0.894	neutral	20
297	0.878	neutral	20
679	0.418	future	20
2254	0.945	neutral	20
5109	0.392	present	20
606	0.392	present	20
1454	0.945	neutral	20
2676	0.86	neutral	20
264	0.441	past	20
426	0.862	neutral	20
1354	0.859	neutral	20
4387	0.393	present	20
947	0.927	neutral	20
1362	0.393	past	20
534	0.901	neutral	20
3850	0.392	present	20
155	0.888	neutral	20
1635	0.409	future	20
2291	0.914	neutral	20
3758	0.92	neutral	20
3054	0.967	neutral	20
713	0.413	future	20
2128	0.394	past	20
2	0.862	neutral	20
3371	0.868	neutral	20
1892	0.928	neutral	20
3219	0.395	present	20
2763	0.386	past	20
1547	0.875	neutral	20
1842	0.87	neutral	20
3714	0.873	neutral	20
774	0.39	present	20
3583	0.875	neutral	20
1761	0.406	past	20
1074	0.857	neutral	20
1159	0.875	neutral	20
236	0.89	neutral	20
4771	0.405	future	20
661	0.873	neutral	20
2393	0.861	neutral	20
4381	0.945	neutral	20
1180	0.378	past	20
1771	0.889	neutral	20
1288	0.867	neutral	20
3162	0.871	neutral	20
1245	0.894	neutral	20
52	0.401	present	20
2594	0.859	neutral	20
4554	0.378	past	20
298	0.856	neutral	20
284	0.875	neutral	20
571	0.945	neutral	20
2869	0.415	future	20
942	0.967	neutral	20
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
4193	0.362	past	21
4268	0.82	neutral	21
2717	0.866	neutral	21
3483	0.814	neutral	21
3808	0.387	past	21
932	0.819	neutral	21
2074	0.394	future	21
4446	0.864	neutral	21
1697	0.82	neutral	21
1311	0.838	neutral	21
2678	0.943	neutral	21
1281	0.874	neutral	21
1510	0.835	neutral	21
2771	0.84	neutral	21
709	0.82	neutral	21
4360	0.425	present	21
3603	0.824	neutral	21
4412	0.856	neutral	21
2624	0.811	neutral	21
2963	0.901	neutral	21
3485	0.863	neutral	21
1555	0.421	present	21
4030	0.854	neutral	21
3738	0.818	neutral	21
2315	0.852	neutral	21
3784	0.395	future	21
2516	0.356	past	21
1762	0.394	future	21
3017	0.819	neutral	21
195	0.834	neutral	21
5122	0.359	past	21
1700	0.382	past	21
1325	0.853	neutral	21
241	0.394	future	21
2680	0.821	neutral	21
2319	0.418	present	21
1857	0.891	neutral	21
1017	0.818	neutral	21
912	0.811	neutral	21
1373	0.874	neutral	21
3470	0.857	neutral	21
3965	0.84	neutral	21
4169	0.41	present	21
4168	0.419	present	21
4200	0.831	neutral	21
1773	0.409	future	21
581	0.819	neutral	21
1218	0.366	past	21
4667	0.394	future	21
20	0.83	neutral	21
1917	0.852	neutral	21
826	0.826	neutral	21
3287	0.877	neutral	21
4566	0.36	past	21
1524	0.362	past	21
792	0.839	neutral	21
3790	0.81	neutral	21
2941	0.415	present	21
2397	0.401	future	21
3281	0.818	neutral	21
3936	0.82	neutral	21
137	0.408	present	21
4922	0.85	neutral	21
158	0.427	present	21
3280	0.853	neutral	21
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
512	0.802	neutral	22
4350	0.951	neutral	22
3109	0.403	past	22
2255	0.399	future	22
841	0.785	neutral	22
3290	0.394	future	22
4333	0.951	neutral	22
780	0.392	past	22
2550	0.769	neutral	22
642	0.795	neutral	22
5044	0.37	present	22
142	0.821	neutral	22
1206	0.951	neutral	22
4845	0.786	neutral	22
1979	0.911	neutral	22
1576	0.399	past	22
3646	0.783	neutral	22
2064	0.893	neutral	22
4260	0.361	present	22
1787	0.772	neutral	22
1147	0.456	past	22
1263	0.864	neutral	22
3528	0.786	neutral	22
3617	0.779	neutral	22
720	0.779	neutral	22
820	0.836	neutral	22
4187	0.818	neutral	22
4673	0.394	present	22
1438	0.758	neutral	22
2224	0.382	future	22
4996	0.887	neutral	22
2358	0.876	neutral	22
3258	0.394	past	22
3016	0.382	future	22
2851	0.805	neutral	22
4366	0.931	neutral	22
4414	0.412	future	22
3197	0.881	neutral	22
1832	0.374	present	22
1152	0.383	future	22
4908	0.864	neutral	22
4402	0.413	past	22
2357	0.793	neutral	22
3778	0.901	neutral	22
1393	0.813	neutral	22
3897	0.401	past	22
2925	0.758	neutral	22
1664	0.363	present	22
4825	0.355	present	22
1793	0.763	neutral	22
2047	0.422	past	22
958	0.762	neutral	22
803	0.777	neutral	22
2305	0.852	neutral	22
4103	0.777	neutral	22
3152	0.804	neutral	22
4764	0.778	neutral	22
1385	0.865	neutral	22
533	0.887	neutral	22
4406	0.946	neutral	22
3125	0.387	future	22
1241	0.357	present	22
1895	0.777	neutral	22
3222	0.765	neutral	22
2465	0.807	neutral	22
2029	0.769	neutral	22
3864	0.37	present	22
1646	0.399	past	22
3043	0.397	future	22
2796	0.354	present	22
1636	0.82	neutral	22
4363	0.871	neutral	22
743	0.887	neutral	22
4240	0.764	neutral	22
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
3760	0.72	neutral	23
1183	0.738	neutral	23
1158	0.407	present	23
1187	0.378	future	23
3855	0.76	neutral	23
3871	0.689	neutral	23
875	0.355	past	23
1372	0.381	past	23
2116	0.689	neutral	23
1201	0.68	neutral	23
4106	0.682	neutral	23
3553	0.407	present	23
858	0.738	neutral	23
1300	0.736	neutral	23
4279	0.738	neutral	23
815	0.738	neutral	23
3523	0.407	present	23
471	0.738	neutral	23
2801	0.738	neutral	23
4498	0.738	neutral	23
4941	0.695	neutral	23
1233	0.38	future	23
721	0.678	neutral	23
2777	0.376	future	23
1545	0.867	neutral	23
4361	0.758	neutral	23
4102	0.882	neutral	23
2674	0.823	neutral	23
4383	0.758	neutral	23
5036	0.787	neutral	23
4132	0.731	neutral	23
3716	0.428	future	23
1737	0.764	neutral	23
4082	0.679	neutral	23
4527	0.403	past	23
2785	0.381	future	23
4779	0.757	neutral	23
4512	0.407	present	23
2103	0.423	present	23
1923	0.69	neutral	23
2670	0.743	neutral	23
4644	0.407	present	23
144	0.818	neutral	23
2202	0.718	neutral	23
3262	0.358	past	23
2351	0.386	future	23
276	0.801	neutral	23
4605	0.72	neutral	23
315	0.738	neutral	23
2548	0.367	past	23
1261	0.673	neutral	23
1163	0.727	neutral	23
4593	0.407	present	23
1919	0.706	neutral	23
4914	0.896	neutral	23
3756	0.764	neutral	23
5046	0.738	neutral	23
891	0.69	neutral	23
914	0.738	neutral	23
3585	0.792	neutral	23
3815	0.38	future	23
2991	0.738	neutral	23
4305	0.837	neutral	23
2089	0.719	neutral	23
4251	0.375	future	23
2229	0.72	neutral	23
2944	0.741	neutral	23
2152	0.374	future	23
4953	0.823	neutral	23
2159	0.363	past	23
5005	0.769	neutral	23
2849	0.673	neutral	23
2083	0.676	neutral	23
4488	0.738	neutral	23
2584	0.378	future	23
3385	0.756	neutral	23
4374	0.729	neutral	23
1532	0.356	past	23
3158	0.36	past	23
2180	0.725	neutral	23
1624	0.407	present	23
3315	0.42	present	23
593	0.729	neutral	23
3323	0.407	present	23
1435	0.357	past	23
1534	0.358	past	23
