Word_Offset	Word	POS	Sense_no	Gloss	Class	Prediction_Value	EndMarker(##)
11296	वसुदेव्या	NOUN	2	वह समय जब चंद्रमा धनिष्ठा नक्षत्र में होता है 	neutral	0.997	##
35752	वाणिज्य_दूत	NOUN	1	वाणिज्य संबंधी राजदूत या वह राजदूत जो वाणिज्य दूतावास में होता है 	neutral	0.997	##
11889	अधिकरण_कारक	NOUN	1	व्याकरण में कर्म तथा क्रिया का आधार, सातवाँ कारक 	present	0.328	##
7073	ईदुल_अज़्हा	NOUN	1	मुसलमानों का एक त्योहार जो जिलहिल मास की दसवीं तारीख को होता है 	neutral	0.997	##
4818	अवगाह	NOUN	4	संकट का समय या स्थान 	neutral	0.595	##
959	मौरूसी	ADJECTIVE	2	बाप दादा के समय से चला आया हुआ या बाप दादा से मिला हुआ 	neutral	0.602	##
22207	कल	ADVERB	2	आज के बाद आनेवाले पहले दिन को 	future	0.355	##
20418	बनारसी	ADJECTIVE	1	बनारस या काशी का या उससे संबंधित 	future	0.377	##
464	मूर्ति	NOUN	2	किसी वस्तु की वे बाहरी और दृश्य बातें जिनसे उसकी लंबाई, चौड़ाई, प्रकार, स्वरूप आदि का ज्ञान होता है 	future	0.431	##
3235	अंगनाई	NOUN	1	घर के बीच का खुला भाग 	neutral	0.997	##
1969	कार्यावकाश	NOUN	1	वह समय जब कोई काम न हो अथवा खाली समय 	neutral	0.997	##
234	शोर_करना	VERB	1	विपत्ति आदि के समय या ऐसे ही जोर से बोलना या आवाज करना 	neutral	0.997	##
30343	राजपूती	ADJECTIVE	1	राजपूत का या राजपूत से संबंधित 	present	0.384	##
9678	भू-विज्ञान	NOUN	1	वह शास्त्र जिसके द्वारा इस बात का ज्ञान होता है कि पृथ्वी के ऊपरी और भीतरी भाग किन-किन तत्वों से बने हैं 	future	0.422	##
6987	अश्लेष_नक्षत्र	NOUN	1	वह समय जब चंद्रमा अश्लेषा नक्षत्र में होता है 	neutral	0.997	##
32347	विदु	NOUN	2	घोड़े के कान के बीच का भाग 	neutral	0.997	##
33474	दंत्य_वर्ण	NOUN	1	वह वर्ण जिसका उच्चारण दाँतों की सहायता से होता है 	neutral	0.997	##
1965	द्यु	NOUN	1	सूर्य निकलने से उसके अस्त होने तक का समय 	neutral	0.997	##
7233	अभिवृद्धि	NOUN	2	किसी जीव के किसी भाग का प्राकृतिक उठा हुआ भाग 	neutral	0.575	##
15998	रतवाँस	NOUN	1	हाथियों और घोड़ों का वह चारा जो उन्हें रात के समय दिया जाता है 	neutral	0.997	##
22556	ग्वारपाठा	NOUN	1	एक प्रकार का पौधा जिसका औषध के रूप में प्रयोग होता है 	neutral	0.997	##
2073	अंतःसार	NOUN	1	शरीर की वह आंतरिक अमूर्त सत्ता जिसमें भले-बुरे का ठीक और स्पष्ट ज्ञान होता है 	future	0.423	##
22496	कोलकतिया	ADJECTIVE	1	कोलकता का या उससे संबंधित 	future	0.371	##
3294	रोगराज	NOUN	1	एक संक्रामक रोग जो एक प्रकार के बैक्टिरिया के साँस या भोजन के साथ शरीर में प्रवेश करने से होता है और जो बुखार तथा छोटे घावों के रूप में प्रकट होता है (विशेषकर फेफड़ों में लेकिन तीव्र अवस्था में शरीर के अन्य भागों में भी)। इसमें रोगी का फेफड़ा या संक्रमित अंग सड़ता जाता है और सारा शरीर धीरे-धीरे कमज़ोर हो जाता है 	neutral	0.998	##
7073	बक़र_ईद	NOUN	1	मुसलमानों का एक त्योहार जो जिलहिल मास की दसवीं तारीख को होता है 	neutral	0.997	##
838	जयंती	NOUN	1	किसी प्रसिद्ध व्यक्ति के जन्म लेने का दिन जो प्रायः उत्सव के रूप में मनाया जाता है 	neutral	0.997	##
16676	किलकैया_रोग	NOUN	1	नहरुए की तरह का एक रोग जो पशुओं को होता है 	neutral	0.997	##
30859	छुट्टी	NOUN	2	वह समय जब कोई काम न हो अथवा खाली समय 	neutral	0.997	##
10550	प्रेगनेंसी	NOUN	1	गर्भाधान के समय से लेकर बच्चे के जन्म लेने तक की अवस्था 	neutral	0.997	##
22168	अपूर्णभूत	NOUN	1	व्याकरण में क्रिया का वह भूतकाल जिसमें क्रिया की समाप्ति न हो 	present	0.383	##
4124	नख	NOUN	2	एक प्रकार का गंधद्रव्य जो सीप अथवा घोंघे की जाति के एक जन्तु विशेष के ऊपरी मुख के आवरण का ढकना होता है 	neutral	0.997	##
4671	चोर_रास्ता	NOUN	1	वह मार्ग जो सबकी नज़र में न हो बल्कि सिर्फ उसके बारे में उससे संबंधित लोगों को ही पता हो 	present	0.374	##
19089	इंडोनेशियन	ADJECTIVE	1	इंडोनेशिया का या इंडोनेशिया से संबंधित 	present	0.384	##
38238	दिन_दूनी_रात_चौगुनी_तरक्की_करना	VERB	1	बहुत कम समय में बहुत अधिक उन्नति करना 	neutral	0.997	##
38457	सात्त्विक_अभिनय	NOUN	1	नाट्य-शास्त्र के अनुसार चार प्रकार के अभिनयों में से एक जिसमें केवल सात्त्विक भावों का प्रदर्शन होता है 	neutral	0.524	##
3374	निश्चय_करना	VERB	1	किसी बात या कार्य आदि के औचित्य या अनौचित्य पर विचार कर, उसके ठीक या उचित होने का निश्चय करना 	future	0.442	##
2688	अद्यतन	ADJECTIVE	1	जिस पर इस समय की बातों या विशेषताओं की पूरी छाप हो 	present	0.397	##
36600	अनभिविझप्त	ADJECTIVE	1	जिसकी सूचना न दी गई हो 	present	0.289	##
22211	अतरसों	ADVERB	1	परसों के बाद के दिन से या आज से आनेवाला तीसरे दिन से 	past	0.385	##
2061	भालचन्द्र	NOUN	2	हिंदुओं के एक प्रधान एवं अग्रपूज्य देवता जिनका शरीर मनुष्य का और सिर हाथी का होता है 	neutral	0.363	##
38375	सोलापुरी	ADJECTIVE	1	सोलापुर का या सोलापुर से संबंधित 	present	0.384	##
3387	रंगरूप	NOUN	1	किसी वस्तु की वे बाहरी और दृश्य बातें जिनसे उसकी लंबाई, चौड़ाई, प्रकार, स्वरूप आदि का ज्ञान होता है 	future	0.431	##
38491	६वीं	NOUN	1	पाँचवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि छह की क्रमसूचक संख्या होती है 	past	0.323	##
38491	६वाँ	NOUN	1	पाँचवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि छह की क्रमसूचक संख्या होती है 	past	0.323	##
34287	प्रागैतिहासिक	ADJECTIVE	1	निश्चित रूप से जिस काल का पूर्ण इतिहास उपलब्ध हो उससे पूर्व का या उससे संबंधित 	future	0.361	##
32316	असाढ़ीय	ADJECTIVE	1	आषाढ़ का या आषाढ़ मास से संबंधित 	present	0.384	##
1771	अतीतकाल	NOUN	1	बीता हुआ समय या काल 	past	0.359	##
4307	घबड़ाना	VERB	1	किसी बात या घटना आदि से डरना या घबड़ा जाना 	future	0.344	##
44	अपहेला	NOUN	1	वह बात या कार्य जिससे किसी का मान या प्रतिष्ठा कम हो 	future	0.376	##
2325	लोचन	NOUN	1	वह इंद्रिय जिससे प्राणियों को रूप, वर्ण, विस्तार तथा आकार का ज्ञान होता है 	future	0.42	##
1628	सलिलज	NOUN	1	पानी में होने वाले एक पौधे का पुष्प जो बहुत ही सुन्दर होता है 	neutral	0.997	##
37674	ग़ैर-पेशवराना	ADJECTIVE	1	जो पेशे या काम से संबंधित न हो या पेशे के रूप में उपयुक्त न हो 	present	0.401	##
30226	मध्यकालीन	ADJECTIVE	1	मध्यकाल का या मध्यकाल से संबंधित 	present	0.384	##
605	शक्ल	NOUN	2	किसी वस्तु की वे बाहरी और दृश्य बातें जिनसे उसकी लंबाई, चौड़ाई, प्रकार, स्वरूप आदि का ज्ञान होता है 	future	0.431	##
34957	लालफीता_शाही	NOUN	1	वह तंत्र जिसमें मनमाने तरीके से उपेक्षा करते हुए कोई कार्य आदि अशृंखलाबद्ध तरीके से लटका रहता है यानि समय पर पूरा नहीं होता है या आवश्यकता से अधिक समय लेने वाली शासन प्रणाली 	neutral	0.997	##
33621	अग्निशामक_गाड़ी	NOUN	1	वह गाड़ी जिस पर अग्निशामक-यंत्र लदा या सेट होता है 	neutral	0.483	##
2050	गिरह	NOUN	3	पौधे के किसी भाग का उभार 	neutral	0.575	##
1006	न्याय_दर्शन	NOUN	1	छह दर्शनों में से एक दर्शन या शास्त्र जिसमें किसी वस्तु के यथार्थ ज्ञान के लिए मतों या विचारों का उचित विवेचन होता है 	neutral	0.727	##
10421	अनुसूची	NOUN	1	कोष्ठक आदि के रूप में वह नामावली जो किसी सूचना, विवरण, नियमावली आदि के अंत में परिशिष्ट के रूप में हो 	neutral	0.997	##
4792	झलक	NOUN	2	वह दृश्य आदि जो बहुत कम समय के लिए आँखों के सामने रहे 	neutral	0.997	##
16483	अनसखरी	NOUN	1	एक प्रकार का गंधद्रव्य जो सीप अथवा घोंघे की जाति के एक जन्तु विशेष के ऊपरी मुख के आवरण का ढकना होता है 	neutral	0.997	##
19014	यौवनकाल	NOUN	1	वह समय जब कोई जवान हो 	neutral	0.997	##
260	स्वर_अक्षर	NOUN	1	व्याकरण में वह वर्णात्मक शब्द या अक्षर जिसका उच्चारण बिना किसी दूसरे वर्ण की सहायता के और आप-से-आप होता है 	neutral	0.424	##
8656	नाराच	NOUN	1	वह दिन या समय जिसमें कष्ट देनेवाली घटनाएँ हों 	present	0.339	##
10582	जिलाधीश	NOUN	1	न्याय विभाग का वह अधिकारी जिसे जिले भर की दीवानी और फ़ौजदारी मुकदमों की अपीलें सुनने का अधिकार होता है 	neutral	0.689	##
11299	उत्तर-भाद्रपद	NOUN	2	वह समय जब चंद्रमा उत्तरा-भाद्रपद नक्षत्र में होता है 	neutral	0.997	##
19511	क्रोएशियाई	ADJECTIVE	2	क्रोएशिया भाषा का या क्रोएशिया भाषा से संबंधित 	present	0.384	##
3423	सरूर	NOUN	1	मन का वह भाव या अवस्था जो किसी प्रिय या अभीष्ट वस्तु के प्राप्त होने या कोई अच्छा और शुभ कार्य होने पर होता है 	neutral	0.997	##
11077	परिपार्श्व	NOUN	1	मूर्ति अथवा चित्र में वह सबसे पीछे का भाग जो अंकित दृश्य घटना का आश्रय होता है 	neutral	0.997	##
6984	पुष्य_नक्षत्र	NOUN	1	वह समय जब चंद्रमा पुष्य नक्षत्र में होता है 	neutral	0.997	##
3623	कुमक	NOUN	2	युद्ध के समय सेना, पैसा आदि के रूप में मिलनेवाली सहायता 	neutral	0.997	##
31693	सुभिक्ष	NOUN	1	ऐसा काल या समय जब देश में अन्न पर्याप्त हो और सब लोगों को सहज में यथेष्ट मात्रा में मिलता हो 	future	0.349	##
19487	बेलरसी	ADJECTIVE	1	बेलरस का या बेलरस के निवासी, वहाँ की भाषा, संस्कृति आदि से संबंधित 	present	0.385	##
8545	इलायची-दाना	NOUN	1	एक सदाबहार पेड़ के फल से प्राप्त सुगन्धित बीज जो मसाले के रूप में प्रयुक्त होता है 	neutral	0.997	##
38512	अट्ठाईसवाँ	NOUN	1	सताईसवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि अठाईस की क्रमसूचक संख्या होती है 	past	0.323	##
19321	इसबग़ोल	NOUN	2	एक विशेष प्रकार के पौधे से प्राप्त गोल बीज जो दवा के रूप में प्रयुक्त होता है 	neutral	0.997	##
11297	शतभिषा_नक्षत्र	NOUN	2	वह समय जब चंद्रमा शतभिषा नक्षत्र में होता है 	neutral	0.997	##
4132	गौरीज	NOUN	1	हिंदुओं के एक प्रधान एवं अग्रपूज्य देवता जिनका शरीर मनुष्य का और सिर हाथी का होता है 	neutral	0.363	##
38512	अट्ठाईसवीं	NOUN	1	सताईसवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि अठाईस की क्रमसूचक संख्या होती है 	past	0.323	##
19474	ऐंडोरी	ADJECTIVE	1	एंडोरा का या एंडोरा से संबंधित 	present	0.384	##
36406	सफ़ेद_करना	VERB	1	काले धन को वाजिब बनाना या ऐसा करना कि उसकी गिनती काले धन में न हो 	present	0.407	##
19474	ऐंडोरन	ADJECTIVE	1	एंडोरा का या एंडोरा से संबंधित 	present	0.384	##
779	शुचि	NOUN	4	भारतीय महीनों में ज्येष्ठ के बाद का और श्रावण के पहले का महीना जो अंग्रेजी महीने के जून और जुलाई के बीच में आता है 	past	0.42	##
19390	चेक	ADJECTIVE	1	चेक देश का या चेक देश से संबंधित 	present	0.383	##
2971	आसय	NOUN	1	वह संकल्पना जो किसी शब्द, पद या वाक्य आदि से निकलता है और जिसका बोध कराने के लिए वह शब्द या पद लोक में प्रचलित होता है 	neutral	0.478	##
28650	उत्तर_पूर्वी	ADJECTIVE	1	उत्तर-पूर्व का या उत्तर-पूर्व से संबंधित 	present	0.384	##
531	स्पिरिट	NOUN	5	हिन्दू शास्त्रों के अनुसार मृत्यु के उपरान्त प्राणी की आत्मा को आवृत्त रखनेवाला शरीर जो पाँचों प्राणों, पाँचों ज्ञानेन्द्रियों, पाँचों सूक्ष्मभूतों, मन, बुद्धि और अहंकार से युक्त होता है परन्तु स्थूल अन्नमय कोश से रहित होता है 	neutral	0.673	##
1506	आशय	NOUN	2	वह संकल्पना जो किसी शब्द, पद या वाक्य आदि से निकलता है और जिसका बोध कराने के लिए वह शब्द या पद लोक में प्रचलित होता है 	neutral	0.478	##
38501	सतरहवीं	NOUN	1	सोलहवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि सत्रह की क्रमसूचक संख्या होती है 	past	0.323	##
27959	कांस्य	ADJECTIVE	1	काँसे का या काँसे से संबंधित 	present	0.385	##
658	खातमा	NOUN	2	शरीर से प्राण निकल जाने के बाद की अवस्था 	past	0.338	##
38501	सतरहवाँ	NOUN	1	सोलहवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि सत्रह की क्रमसूचक संख्या होती है 	past	0.323	##
5488	जिह्वा	NOUN	1	मुँह के अंदर का वह लंबा चपटा मांस पिंड जिससे रसों का आस्वादन और उसकी सहायता से शब्दों का उच्चारण होता है 	neutral	0.552	##
105	अभ्यनुज्ञा	NOUN	1	कोई काम करने से पहले उसके संबंध में बड़ों से मिलने या ली जाने वाली स्वीकृति जो बहुत-कुछ आज्ञा के रूप में होती है 	neutral	0.997	##
4579	शफ	NOUN	2	एक प्रकार का गंधद्रव्य जो सीप अथवा घोंघे की जाति के एक जन्तु विशेष के ऊपरी मुख के आवरण का ढकना होता है 	neutral	0.997	##
817	नवमी	NOUN	1	चान्द्र मास के किसी पक्ष की नौवीं तिथि 	neutral	0.501	##
894	अवतारी	ADJECTIVE	1	अवतार का या अवतार से संबंधित 	present	0.385	##
21254	भागलपुरी	ADJECTIVE	1	भागलपुर का या भागलपुर से संबंधित 	present	0.384	##
32851	सूक्ष्म-शरीर	NOUN	1	हिन्दू शास्त्रों के अनुसार मृत्यु के उपरान्त प्राणी की आत्मा को आवृत्त रखनेवाला शरीर जो पाँचों प्राणों, पाँचों ज्ञानेन्द्रियों, पाँचों सूक्ष्मभूतों, मन, बुद्धि और अहंकार से युक्त होता है परन्तु स्थूल अन्नमय कोश से रहित होता है 	neutral	0.673	##
6964	मृगोत्तम	NOUN	1	वह काल जब चन्द्रमा मृगशिरा नक्षत्र में होता है 	neutral	0.997	##
1784	वाइस-प्रेसिडेंट	NOUN	2	किसी संस्था का वह अधिकारी जिसका पद सभापति के उपरांत या उससे छोटा, पर मंत्री से बड़ा होता है और जो सभापति की अनुपस्थिति में उसके सब कार्य करता है 	future	0.454	##
5169	गोचर	NOUN	1	वह भूमि जो पशुओं के चरने के लिए खाली छोड़ दी गई हो 	neutral	0.479	##
182	अशुद्ध_शब्द	NOUN	1	ऐसा शब्द जो व्याकरण या वर्तनी की दृष्टि से शुद्ध न हो 	present	0.369	##
11296	वसुदेवता	NOUN	2	वह समय जब चंद्रमा धनिष्ठा नक्षत्र में होता है 	neutral	0.997	##
37356	ब्राह्मणी	ADJECTIVE	1	ब्राह्मण का या ब्राह्मण से संबंधित 	present	0.384	##
963	ललना	NOUN	2	मुँह के अंदर का वह लंबा चपटा मांस पिंड जिससे रसों का आस्वादन और उसकी सहायता से शब्दों का उच्चारण होता है 	neutral	0.552	##
380	योजक_चिन्ह	NOUN	1	व्याकरण में वह चिह्न जो शब्दों, पदों, उपवाक्यों आदि को जोड़ता है 	present	0.367	##
38043	पॉट-शर्ड	NOUN	1	कहीं की खुदाई में निकला हुआ, प्राचीन काल के मिट्टी के बरतन का वह टुकड़ा जिसका ऐतिहासिक तथा पुरातात्विक महत्व होता है 	neutral	0.738	##
10815	ब्रिटिश	ADJECTIVE	1	ब्रिटेन का या वहाँ के निवासी, भाषा, संस्कृति इत्यादि से संबंधित 	present	0.379	##
4132	लम्बोदर	NOUN	1	हिंदुओं के एक प्रधान एवं अग्रपूज्य देवता जिनका शरीर मनुष्य का और सिर हाथी का होता है 	neutral	0.363	##
2971	अभिप्राय	NOUN	1	वह संकल्पना जो किसी शब्द, पद या वाक्य आदि से निकलता है और जिसका बोध कराने के लिए वह शब्द या पद लोक में प्रचलित होता है 	neutral	0.478	##
387	भूत	NOUN	2	किसी मृत व्यक्ति की आत्मा का वह रूप जो मोक्ष या मुक्ति के अभाव में उसे प्राप्त होता है और जिसमें वह प्रायः कष्टदायक और अमांगलिक कार्य करता है 	neutral	0.997	##
38492	पाँचवीं	NOUN	1	चौथी के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि पाँच की क्रमसूचक संख्या होती है 	past	0.323	##
1958	उछंग	NOUN	1	बैठे हुए व्यक्ति के सामने की कमर और घुटनों के बीच का भाग जिसमें बच्चे आदि को लिया जाता है और अधिकतर अपने पेट, सीने आदि से सटाया जाता है 	neutral	0.998	##
39305	चैत्य_गृह	NOUN	1	बौद्धों का वह पुण्य स्थल जहाँ प्रार्थना करने के लिए बड़ा कक्ष और स्तूप होता है 	neutral	0.997	##
8165	स्पर्श	NOUN	2	व्याकरण में वह वर्ण जिसका उच्चारण करते समय जीभ कुछ ऊपर उठकर और मुख के किसी भाग को स्पर्श करते हुए बहुत थोड़े समय के लिए श्वास रोक देती है 	neutral	0.998	##
11887	अपादान	NOUN	1	व्याकरण में वह कारक जिससे एक वस्तु से दूसरी वस्तु की क्रिया का प्रारंभ या अलगाव सूचित होता है 	future	0.358	##
38492	पाँचवाँ	NOUN	1	चौथी के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि पाँच की क्रमसूचक संख्या होती है 	past	0.323	##
6907	पहले_से	ADVERB	1	बीते हुए समय से या पहले से 	past	0.34	##
6801	चित्रा_नक्षत्र	NOUN	1	वह काल जब चंद्रमा चित्रा नक्षत्र में होता है 	neutral	0.997	##
19440	नृहरि	NOUN	1	भगवान विष्णु के चौथे अवतार का वह रूप जो आधे पुरुष और आधे सिंह के रूप में था 	neutral	0.997	##
807	दैवीय_नियम	NOUN	1	वह विधान जो दैव द्वारा नियत किया हुआ माना जाता है और अटल होता है 	neutral	0.997	##
32712	आया	ADJECTIVE	1	अचानक ही कहीं इधर-उधर से या भूल-भटककर आने वाला या जिसके घूमने का कोई निश्चित उद्देश्य या निश्चित दिशा न हो 	present	0.364	##
22207	कल	ADVERB	1	आज से एक दिन पहले के बीते हुए दिन को 	past	0.398	##
947	मालूर	NOUN	2	एक कँटीला वृक्ष जिसके फल का छिलका बहुत ही कड़ा और चिकना होता है 	neutral	0.729	##
5836	त्वच	NOUN	1	दालचीनी की जाति के एक पेड़ का पत्ता जो खाद्य मसाले के रूप में उपयोग होता है 	neutral	0.997	##
88	मौजूदा	ADJECTIVE	2	जिस पर इस समय की बातों या विशेषताओं की पूरी छाप हो 	present	0.397	##
2690	पाषाण	NOUN	1	पृथ्वी के स्तर का वह कठोर पिंड या खंड जो चूने, बालू आदि के जमने से बना होता है 	neutral	0.997	##
15559	प्रतिवेदित	ADJECTIVE	1	जिसकी सूचना दी गई हो या जो सूचित किया हुआ हो 	present	0.335	##
6103	मिआद	NOUN	1	किसी एक नियत समय से दूसरे नियत समय तक के बीच का काल 	neutral	1	##
28689	संस्थागत	ADJECTIVE	1	संस्था का या संस्था से संबंधित 	present	0.386	##
34615	घटना_क्रम	NOUN	1	एक के बाद एक होने वाली घटनाओं का क्रम या सिलसिला 	past	0.359	##
2340	अद्रि	NOUN	2	पृथ्वी के स्तर का वह कठोर पिंड या खंड जो चूने, बालू आदि के जमने से बना होता है 	neutral	0.997	##
2025	रणि	NOUN	1	सूर्यास्त और सूर्योदय के बीच का समय 	neutral	0.997	##
18722	म्यानमारी	ADJECTIVE	1	बर्मा या म्यानमार का या वहाँ के निवासी, भाषा, संस्कृति इत्यादि से संबंधित 	present	0.379	##
12079	पतिंबरा	NOUN	1	काले रंग का एक बीज जो मसाले के रूप में प्रयुक्त होता है 	neutral	0.997	##
