INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
32631	0.996	atemporal	1
114554	0.998	atemporal	1
100796	0.999	atemporal	1
10440	0.991	temporal	1
132710	0.997	atemporal	1
34147	0.997	atemporal	1
23949	0.996	atemporal	1
142243	0.992	temporal	1
34392	0.997	atemporal	1
134264	0.996	temporal	1
81052	0.993	temporal	1
98109	0.998	atemporal	1
96389	0.999	atemporal	1
126231	0.996	atemporal	1
34707	0.998	atemporal	1
57687	0.992	temporal	1
84004	0.995	temporal	1
28397	0.999	atemporal	1
129354	0.996	atemporal	1
113342	0.995	temporal	1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
32043	0.798	temporal	2
67205	0.919	atemporal	2
74716	0.905	atemporal	2
112328	0.902	atemporal	2
31540	0.907	atemporal	2
118480	0.91	atemporal	2
101384	0.912	atemporal	2
16468	0.812	temporal	2
133768	0.83	temporal	2
80072	0.908	atemporal	2
35357	0.822	temporal	2
74083	0.914	atemporal	2
41616	0.919	atemporal	2
102477	0.92	atemporal	2
131729	0.817	temporal	2
46175	0.904	atemporal	2
85256	0.917	atemporal	2
117240	0.901	atemporal	2
50133	0.814	temporal	2
123516	0.903	atemporal	2
48334	0.799	temporal	2
72075	0.914	atemporal	2
128439	0.807	temporal	2
43912	0.903	atemporal	2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
44227	0.973	atemporal	3
24821	0.967	atemporal	3
93012	0.986	atemporal	3
60425	0.968	temporal	3
44394	0.962	atemporal	3
112019	0.976	atemporal	3
86721	0.966	atemporal	3
129125	0.976	temporal	3
96934	0.976	temporal	3
57259	0.962	atemporal	3
25260	0.961	atemporal	3
88452	0.968	temporal	3
59089	0.977	temporal	3
89895	0.971	atemporal	3
14843	0.961	atemporal	3
30514	0.968	atemporal	3
96521	0.959	atemporal	3
87355	0.967	atemporal	3
92496	0.976	temporal	3
102561	0.965	atemporal	3
57823	0.962	atemporal	3
135525	0.967	atemporal	3
117771	0.973	atemporal	3
76054	0.959	atemporal	3
43561	0.977	temporal	3
35341	0.962	atemporal	3
109831	0.972	temporal	3
44605	0.966	temporal	3
