Dipawesh	Sabyasachi	Vikram	J48
neutral	neutral	future	neutral
neutral	neutral	past	past
atemporal	neutral	atemporal	atemporal
future	future	future	neutral
atemporal	atemporal	atemporal	atemporal
past	neutral	present	neutral
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	neutral	atemporal
present	atemporal	atemporal	atemporal
present	atemporal	neutral	atemporal
future	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	neutral	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	past	present
atemporal	atemporal	atemporal	atemporal
future	atemporal	future	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	neutral	present	atemporal
present	atemporal	atemporal	atemporal
past	past	past	past
past	neutral	neutral	neutral
neutral	neutral	past	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	future	neutral
neutral	atemporal	neutral	neutral
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
future	neutral	future	neutral
atemporal	atemporal	atemporal	atemporal
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	past	past	neutral
atemporal	atemporal	atemporal	atemporal
past	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
past	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	present	present	atemporal
future	neutral	atemporal	past
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	present	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
past	past	past	past
neutral	neutral	future	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	neutral	atemporal	atemporal
neutral	neutral	neutral	neutral
present	present	present	present
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	past
future	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	atemporal
past	past	past	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
future	atemporal	present	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
present	present	present	future
future	neutral	future	future
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	present	atemporal
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	atemporal	atemporal	atemporal
future	atemporal	atemporal	atemporal
atemporal	neutral	atemporal	future
future	atemporal	atemporal	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	atemporal	past	atemporal
past	past	past	past
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	atemporal	future	atemporal
past	past	neutral	past
neutral	atemporal	neutral	atemporal
present	atemporal	present	present
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
past	neutral	past	neutral
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	atemporal	past	atemporal
atemporal	atemporal	neutral	future
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	neutral	past	neutral
future	atemporal	future	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	present	present	present
atemporal	atemporal	atemporal	atemporal
future	atemporal	atemporal	atemporal
present	neutral	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
