Dipawesh	Sabyasachi	Vikram	NB
neutral	neutral	future	present
neutral	neutral	past	present
atemporal	neutral	atemporal	atemporal
future	future	future	atemporal
atemporal	atemporal	atemporal	atemporal
past	neutral	present	neutral
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
present	atemporal	neutral	atemporal
present	atemporal	atemporal	atemporal
present	atemporal	neutral	future
future	atemporal	atemporal	atemporal
neutral	neutral	neutral	present
neutral	neutral	neutral	atemporal
past	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	neutral	atemporal	neutral
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	past	past
atemporal	atemporal	atemporal	atemporal
future	atemporal	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	neutral	present	atemporal
present	atemporal	atemporal	future
past	past	past	present
past	neutral	neutral	atemporal
neutral	neutral	past	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	future	atemporal
neutral	atemporal	neutral	neutral
atemporal	atemporal	atemporal	neutral
neutral	neutral	neutral	present
future	neutral	future	atemporal
atemporal	atemporal	atemporal	neutral
future	atemporal	atemporal	future
atemporal	atemporal	atemporal	atemporal
past	past	past	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	past	past	atemporal
atemporal	atemporal	atemporal	atemporal
past	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
past	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	present	present	neutral
future	neutral	atemporal	atemporal
atemporal	atemporal	atemporal	future
present	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	present	atemporal
neutral	neutral	neutral	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	atemporal
past	past	past	past
neutral	neutral	future	neutral
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	atemporal
future	neutral	atemporal	atemporal
neutral	neutral	neutral	neutral
present	present	present	present
present	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	past
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	future
past	past	past	atemporal
past	past	past	atemporal
neutral	neutral	neutral	atemporal
atemporal	atemporal	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
future	atemporal	present	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
past	past	past	atemporal
present	present	present	present
future	neutral	future	present
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	present
neutral	neutral	neutral	atemporal
past	past	past	past
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	present	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	present
atemporal	atemporal	atemporal	atemporal
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	atemporal
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	atemporal	atemporal	neutral
future	atemporal	atemporal	atemporal
atemporal	neutral	atemporal	neutral
future	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	atemporal	past	atemporal
past	past	past	past
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	atemporal	future	atemporal
past	past	neutral	past
neutral	atemporal	neutral	atemporal
present	atemporal	present	present
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	future
past	neutral	past	present
neutral	neutral	neutral	present
atemporal	atemporal	atemporal	atemporal
present	atemporal	atemporal	future
