Dipawesh	Sabyasachi	Vikram	SMO
neutral	neutral	future	neutral
neutral	neutral	past	neutral
atemporal	neutral	atemporal	neutral
future	future	future	future
atemporal	atemporal	atemporal	neutral
past	neutral	present	past
atemporal	atemporal	atemporal	neutral
present	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	past
present	atemporal	neutral	present
present	atemporal	atemporal	present
present	atemporal	neutral	future
future	atemporal	atemporal	neutral
neutral	neutral	neutral	neutral
neutral	neutral	neutral	present
past	atemporal	atemporal	past
atemporal	atemporal	atemporal	present
atemporal	neutral	atemporal	present
present	atemporal	atemporal	present
atemporal	atemporal	atemporal	neutral
neutral	neutral	past	past
atemporal	atemporal	atemporal	present
future	atemporal	future	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
present	neutral	present	present
present	atemporal	atemporal	future
past	past	past	past
past	neutral	neutral	neutral
neutral	neutral	past	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atemporal
neutral	neutral	future	neutral
neutral	atemporal	neutral	past
atemporal	atemporal	atemporal	present
neutral	neutral	neutral	neutral
future	neutral	future	future
atemporal	atemporal	atemporal	past
future	atemporal	atemporal	future
atemporal	atemporal	atemporal	neutral
past	past	past	past
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
neutral	past	past	future
atemporal	atemporal	atemporal	atemporal
past	neutral	neutral	past
atemporal	atemporal	atemporal	neutral
past	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	neutral
present	present	present	past
future	neutral	atemporal	neutral
atemporal	atemporal	atemporal	future
present	atemporal	atemporal	present
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	present
atemporal	atemporal	present	present
neutral	neutral	neutral	past
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
present	atemporal	atemporal	neutral
past	past	past	past
neutral	neutral	future	neutral
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	neutral
