Dipawesh	Sabyasachi	Vikram	J48
future	future	future	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	present	present	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
present	present	present	present
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	atemporal
past	past	past	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
present	present	present	future
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
past	past	past	past
past	past	past	past
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
future	future	future	future
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
present	present	present	present
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
atemporal	atemporal	atemporal	atemporal
