Dipawesh	Sabyasachi	Vikram	SMO
future	future	future	future
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	present
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
past	past	past	past
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	present
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	neutral
past	past	past	past
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	neutral
present	present	present	past
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	present
neutral	neutral	neutral	past
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
past	past	past	past
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	neutral
neutral	neutral	neutral	neutral
present	present	present	present
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	present
future	future	future	future
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	present
past	past	past	past
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	future
past	past	past	present
past	past	past	present
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
future	future	future	future
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	present
past	past	past	past
present	present	present	present
atemporal	atemporal	atemporal	neutral
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	present
neutral	neutral	neutral	neutral
past	past	past	past
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	present
neutral	neutral	neutral	neutral
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	neutral
past	past	past	past
past	past	past	past
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	atempora
neutral	neutral	neutral	present
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	past
future	future	future	future
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	past
atemporal	atemporal	atemporal	atempora
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	neutral
present	present	present	present
atemporal	atemporal	atemporal	future
atemporal	atemporal	atemporal	present
atemporal	atemporal	atemporal	neutral
atemporal	atemporal	atemporal	present
