Word_Offset	Word	POS	Sense_no	Gloss	Class	Prediction_Value	EndMarker(##)
17577	आजमाया	ADJECTIVE	1	जिसकी जाँच या परीक्षा की गई हो 	future	0.989	##
2064	लांगली	NOUN	5	एक लता जो दवा के काम में आती है 	present	0.994	##
4450	कैरत	NOUN	1	एक काला जहरीला साँप 	neutral	0.996	##
30874	मुक्तचन्दन	NOUN	1	लाल रंग का चंदन 	neutral	0.996	##
11296	वसुदेव्या	NOUN	2	वह समय जब चंद्रमा धनिष्ठा नक्षत्र में होता है 	neutral	0.842	##
1291	आबाद	ADJECTIVE	2	जो जोती और बोई गई हो या जोती और बोई जाती हो (भूमि) 	present	0.849	##
15518	नेवारी	NOUN	1	जूही की जाति का एक सफेद फूलवाला पौधा 	neutral	0.996	##
2578	निज़ाअ	NOUN	1	दुश्मन या शत्रु होने की अवस्था या भाव 	neutral	0.842	##
10860	फूटना	VERB	2	कली का फूल के रूप में बदलना 	neutral	0.996	##
12214	स्टाइल	NOUN	3	* दिए गए या एक विशेष समय की लोकप्रिय रुचि 	neutral	0.996	##
5185	चटकन	NOUN	1	पूरी हथेली से किया जाने वाला आघात 	neutral	0.996	##
21786	पाचक_ग्रन्थि	NOUN	1	वह ग्रंथि जिसकी नलिकाओं में से निकले स्राव आहार नाल में पहुँचकर पाचन में सहायक होते हैं 	neutral	0.996	##
35752	वाणिज्य_दूत	NOUN	1	वाणिज्य संबंधी राजदूत या वह राजदूत जो वाणिज्य दूतावास में होता है 	present	0.994	##
9766	महामन्त्री	NOUN	1	प्राचीन काल में किसी राज्य या साम्राज्य के शासक द्वारा नियुक्त वह मंत्री जो और सब मंत्रियों में प्रधान या प्रमुख होता था 	present	0.994	##
3892	सितारवादक	NOUN	1	वह जो सितार बजाता हो 	present	0.994	##
963	गुल	NOUN	5	गालों पर पड़ने वाला गड्ढा (विशेषकर हँसते या कुछ बोलते समय) 	neutral	0.996	##
1460	चटका	NOUN	4	पूरी हथेली से किया जाने वाला आघात 	neutral	0.996	##
14582	घूसख़ोरी	NOUN	1	रिश्वत या घूस लेने का काम 	neutral	0.996	##
1287	ताड़ना	NOUN	3	मारने की क्रिया 	neutral	0.996	##
30543	घघरबेल	NOUN	1	एक लता जो तुरई की लता की तरह की होती है 	present	0.994	##
4859	निदाघकाल	NOUN	1	वह मौसम या समय जब कड़ी धूप होती है 	neutral	0.842	##
4818	अवगाह	NOUN	4	संकट का समय या स्थान 	neutral	0.996	##
248	वफ़ादार	ADJECTIVE	1	जिसका विश्वास किया जा सके या जिस पर विश्वास हो 	neutral	0.996	##
7449	चिह्नित	ADJECTIVE	1	जिस पर चिह्न या निशान हो 	neutral	0.996	##
