Dipawesh	Sabyasachi	Vikram	J48
neutral	neutral	future	neutral
neutral	neutral	past	neutral
future	future	future	future
past	neutral	present	neutral
present	atemporal	neutral	neutral
present	atemporal	neutral	present
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
neutral	neutral	past	present
future	atemporal	future	neutral
present	neutral	present	present
past	past	past	past
past	neutral	neutral	past
neutral	neutral	past	neutral
neutral	neutral	future	neutral
neutral	atemporal	neutral	neutral
neutral	neutral	neutral	neutral
future	neutral	future	future
past	past	past	neutral
neutral	past	past	neutral
past	neutral	neutral	present
present	present	present	past
future	neutral	atemporal	past
neutral	neutral	neutral	neutral
past	past	past	present
neutral	neutral	future	future
future	neutral	atemporal	neutral
neutral	neutral	neutral	neutral
present	present	present	present
future	future	future	neutral
past	past	past	past
past	past	past	neutral
past	past	past	neutral
neutral	neutral	neutral	neutral
future	atemporal	present	past
future	future	future	present
past	past	past	neutral
present	present	present	present
future	neutral	future	future
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	atemporal	past	neutral
past	past	past	future
past	past	past	past
future	atemporal	future	neutral
past	past	neutral	neutral
neutral	atemporal	neutral	neutral
present	atemporal	present	present
past	neutral	past	neutral
neutral	neutral	neutral	neutral
future	future	future	future
past	atemporal	past	neutral
future	neutral	past	past
future	atemporal	future	neutral
present	present	present	future
present	neutral	neutral	past
