Dipawesh	Sabyasachi	Vikram	NB
neutral	neutral	future	neutral
neutral	neutral	past	neutral
future	future	future	future
past	neutral	present	future
present	atemporal	neutral	neutral
present	atemporal	neutral	future
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
neutral	neutral	past	neutral
future	atemporal	future	neutral
present	neutral	present	future
past	past	past	neutral
past	neutral	neutral	neutral
neutral	neutral	past	neutral
neutral	neutral	future	neutral
neutral	atemporal	neutral	future
neutral	neutral	neutral	neutral
future	neutral	future	neutral
past	past	past	future
neutral	past	past	future
past	neutral	neutral	future
present	present	present	past
future	neutral	atemporal	neutral
neutral	neutral	neutral	neutral
past	past	past	neutral
neutral	neutral	future	future
future	neutral	atemporal	neutral
neutral	neutral	neutral	future
present	present	present	present
future	future	future	neutral
past	past	past	past
past	past	past	past
past	past	past	past
neutral	neutral	neutral	neutral
future	atemporal	present	future
future	future	future	future
past	past	past	future
present	present	present	present
future	neutral	future	neutral
neutral	neutral	neutral	future
neutral	neutral	neutral	neutral
past	past	past	neutral
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	atemporal	past	neutral
past	past	past	past
past	past	past	past
future	atemporal	future	neutral
past	past	neutral	neutral
neutral	atemporal	neutral	neutral
present	atemporal	present	present
past	neutral	past	neutral
neutral	neutral	neutral	neutral
future	future	future	neutral
past	atemporal	past	neutral
future	neutral	past	neutral
future	atemporal	future	neutral
present	present	present	future
present	neutral	neutral	future
