Dipawesh	Sabyasachi	Vikram	SMO
neutral	neutral	future	neutral
neutral	neutral	past	neutral
future	future	future	future
past	neutral	present	neutral
present	atemporal	neutral	future
present	atemporal	neutral	neutral
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
neutral	neutral	past	past
future	atemporal	future	neutral
present	neutral	present	present
past	past	past	past
past	neutral	neutral	neutral
neutral	neutral	past	neutral
neutral	neutral	future	neutral
neutral	atemporal	neutral	present
neutral	neutral	neutral	neutral
future	neutral	future	future
past	past	past	past
neutral	past	past	past
past	neutral	neutral	neutral
present	present	present	past
future	neutral	atemporal	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	future	neutral
future	neutral	atemporal	neutral
neutral	neutral	neutral	neutral
present	present	present	present
future	future	future	future
past	past	past	past
past	past	past	present
past	past	past	present
neutral	neutral	neutral	neutral
future	atemporal	present	future
future	future	future	future
past	past	past	present
present	present	present	present
future	neutral	future	neutral
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	future
past	atemporal	past	present
past	past	past	past
past	past	past	past
future	atemporal	future	future
past	past	neutral	past
neutral	atemporal	neutral	neutral
present	atemporal	present	present
past	neutral	past	neutral
neutral	neutral	neutral	neutral
future	future	future	future
past	atemporal	past	neutral
future	neutral	past	neutral
future	atemporal	future	neutral
present	present	present	present
present	neutral	neutral	future
