Dipawesh	Sabyasachi	Vikram	J48
future	future	future	future
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
past	past	past	neutral
present	present	present	past
neutral	neutral	neutral	neutral
past	past	past	present
neutral	neutral	neutral	neutral
present	present	present	present
future	future	future	neutral
past	past	past	past
past	past	past	neutral
past	past	past	neutral
neutral	neutral	neutral	neutral
future	future	future	present
past	past	past	neutral
present	present	present	present
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	future
past	past	past	past
neutral	neutral	neutral	neutral
future	future	future	future
present	present	present	future
