Dipawesh	Sabyasachi	Vikram	NB
future	future	future	future
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	neutral
neutral	neutral	neutral	neutral
past	past	past	future
present	present	present	past
neutral	neutral	neutral	neutral
past	past	past	neutral
neutral	neutral	neutral	future
present	present	present	present
future	future	future	neutral
past	past	past	past
past	past	past	past
past	past	past	past
neutral	neutral	neutral	neutral
future	future	future	future
past	past	past	future
present	present	present	present
neutral	neutral	neutral	future
neutral	neutral	neutral	neutral
past	past	past	neutral
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
past	past	past	past
neutral	neutral	neutral	neutral
future	future	future	neutral
present	present	present	future
