Dipawesh	Sabyasachi	Vikram	SMO
future	future	future	future
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
past	past	past	past
present	present	present	past
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
present	present	present	present
future	future	future	future
past	past	past	past
past	past	past	present
past	past	past	present
neutral	neutral	neutral	neutral
future	future	future	future
past	past	past	present
present	present	present	present
neutral	neutral	neutral	neutral
neutral	neutral	neutral	neutral
past	past	past	past
neutral	neutral	neutral	neutral
neutral	neutral	neutral	future
past	past	past	past
past	past	past	past
neutral	neutral	neutral	neutral
future	future	future	future
present	present	present	present
